countyname,districtname,schoolname,countycode,districtcode,schoolcode,charternumber,elarts_score,enrollment_star_s,math_score,zipcode,freem_frac_s,frpm_frac_s,enrollment_s,ell_frac_s,fep_frac_s,edi_s,re_aian_frac_s,re_asian_frac_s,re_baa_frac_s,re_fil_frac_s,re_hl_frac_s,re_hpi_frac_s,re_tom_frac_s,re_nr_frac_s,re_wht_frac_s,yrcal_s,te_1yr_frac_s,te_2yr_frac_s,te_fte_s,te_avgyr_s,unified_d,enrollment_d,ell_frac_d,fep_frac_d,frpm_frac_d,edi_d,re_aian_frac_d,re_asian_frac_d,re_baa_frac_d,re_fil_frac_d,re_hl_frac_d,re_hpi_frac_d,re_tom_frac_d,re_nr_frac_d,re_wht_frac_d,te_1yr_frac_d,te_2yr_frac_d,te_fte_d,te_salary_high_d,te_salary_low_d,te_salary_avg_d,te_days_d,te_serdays_d,exp_total_d,exp_1000_1999_d,exp_2000_2999_d,exp_3000_3999_d,exp_4000_4999_d,exp_5000_5999_d,exp_6000_6999_d,exp_7000_7999_d,exp_8000_8999_d,expoc_1000_1999_d,expoc_2000_2999_d,expoc_3000_3999_d,expoc_4000_4999_d,expoc_5000_5999_d,rev_total_d,revoc_8010_8099_d,revoc_8100_8299_d,revoc_8300_8599_d,revoc_8600_8799_d,age_frac_1_4_z,age_frac_5_17_z,age_frac_18_24_z,age_frac_25_34_z,age_frac_35_44_z,age_frac_45_54_z,age_frac_55_64_z,age_frac_65_74_z,age_frac_75_older_z,pop_1_older_z,sex_frac_male_z,sex_frac_female_z,ms_frac_never_married_z,ms_frac_now_married_z,ms_frac_now_divorced_z,ms_frac_now_widowed_z,ed_frac_lt_hs_z,ed_frac_hs_z,ed_frac_sc_z,ed_frac_ba_z,ed_frac_grd_z,hs_frac_own_z,hs_frac_rent_z,med_income_z,moved_frac_samecounty_z,moved_frac_difcounty_z,moved_frac_difstate_z,moved_frac_abroad_z,testscore,str_s,str_d,te_tot_fte_rat_s,te_tot_fte_rat_d,ada_enrollment_ratio_d,la_unified_d,sd_unified_d,charter_s
county name,district name,school name,county code,district code,school code,charter number (code),english and language arts score (5th grade),enrollment: STAR test takers (school),math score (5th grade),zipcode of school,"free meals (fraction, school)","free or reduced price meals (fraction, school)",enrollment: school,"english language learners (fraction, school)","english language proficient (fraction, school)",ethnic diversity index (school),"ethnicity/race american indian or alaska native (fraction, school)","ethnicity/race asian (fraction, school)","ethnicity/race black or african american (fraction, school)","ethnicity/race filipino (fraction, school)","ethnicity/race hispanic or latino (fraction, school)","ethnicity/race hawaiian or pacific islander (fraction, school)","ethnicity/race two or more reported (fraction, school)","ethnicity/race none reported (fraction, school)","ethnicity/race white (fraction, school)","Year round calendar (0-1, school)","1st year teachers (fraction, school)","2nd year teachers (fraction, school)",number (fte) teachers (school),average years teaching (school),District type: 1 if unified school district,enrollment: district,"english language learners (fraction, district)","english language proficient (fraction, district)","free or reduced price meals (fraction, district)",ethnic diversity index (district),"ethnicity/race american indian or alaska native (fraction, district)","ethnicity/race asian (fraction, district)","ethnicity/race black or african american (fraction, district)","ethnicity/race filipino (fraction, district)","ethnicity/race hispanic or latino (fraction, district)","ethnicity/race hawaiian or pacific islander (fraction, district)","ethnicity/race two or more reported (fraction, district)","ethnicity/race none reported (fraction, district)","ethnicity/race white (fraction, district)","1st year teachers (fraction, district)","2nd year teachers (fraction, district)",number (fte) teachers (district),Teacher Salary: highest salary offered (district),Teacher Salary: lowest salary offered (district),Teacher Salary: average (district),Teaching days (district),Teaching service days (district),Total Gen Fund Revenues Per Student (District),Gen Fund Exp by Activity - 1000-1999 Instruction Per Student (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Per Student (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Per Student (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Per Student (District),Gen Fund Exp by Activity - 5000-5999 Community Services Per Student (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Per Student (District),Gen Fund Exp by Activity - 7000-7999 General Administration Per Student (Distric,Gen Fund Exp by Activity - 8000-8999 Plant Services Per Student (District),Gen Fund Exp by Object Code - 1000-1999 Certificated Salaries Per Student (Distr,Gen Fund Exp by Object Code - 2000-2999 Classified Salaries Per Student (Distric,Gen Fund Exp by Object Code - 3000-3999 Employee Benefits Per Student (District),Gen Fund Exp by Object Code - 4000-4999 Books & Supplies Per Student (District),Gen Fund Exp by Object Code - 5000-5999 Services & Other Op Exp Per Student (Dis,Gen. Fund revenue per student: total (district),Gen Fund Rev by Object Code - 8010-8099 Rev Limit Sources/LCFF Per Student (Dist,Gen Fund Rev by Object Code - 8100-8299 Federal Revenue Per Student (District),Gen Fund Rev by Object Code - 8300-8599 Other State Revenue Per Student (Distric,Gen Fund Rev by Object Code - 8600-8799 Other Local Revenue Per Student (Distric,Population(1+) fraction age 1-4 years (zipcode),Population(1+) fraction age 5-17 years (zipcode),Population(1+) fraction age 18-24 years (zipcode),Population(1+) fraction age 25-34 years (zipcode),Population(1+) fraction age 35-44 years (zipcode),Population(1+) fraction age 45-54 years (zipcode),Population(1+) fraction age 55-64 years (zipcode),Population(1+) fraction age 65-74 years (zipcode),Population(1+) fraction age 75 years and older (zipcode),Population total: 1 year and older,Population(1+) fraction male (zipcode),Population(1+) fraction female (zipcode),"Population (15+), marital status: never married (zipcode)","Population (15+), marital status: now married, not separated (zipcode)","Population (15+), marital status: divroced or separated (zipcode)","Population (15+), marital status: widowed (zipcode)","Population (25+), education: less than high school (zipcode)","Population (25+), education: high school (zipcode)","Population (25+), education: some college or AA (zipcode)","Population (25+), education: bachelors degree (zipcode)","Population (25+), education: graduate or professional degree (zipcode)","Population (1+), housing: owner-occupied (zipcode)","Population (1+), housing: rental unit (zipcode)","Population (15+), median income (zipcode)","Population (1+), moved in last year, from same county (zipcode)","Population (1+), moved in last year, different county, same state (zipcode)","Population (1+), moved in last year, different state (zipcode)","Population (1+), moved in last year, from abroad (zipcode)","test score (sum of math and english/language arts, 5th grade)",student teacher(FTE) ratio (school),student teacher(FTE) ratio (district),Number of teachers divided by number of teacher FTE (school),Number of teachers divided by number of teacher FTE (district),avg. daily attendance divided by enrollment (district),Los Angeles Unified School District (0-1),San Diego Unified School District (0-1),"charter school (0-1, school)"
Los Angeles,Los Angeles Unified,McKinley Avenue Elementary,19,64733,6018105,0,323.1000061,535,316.6000061,90001,0.798699975,0.8829,764,0.474999994,0.203999996,17,0.003,0,0.165000007,0,0.833000004,0,0,0,0,0,0,0,35,17,1,655494,0.263999999,0.365999997,0.75,29,0.004,0.039999999,0.093999997,0.021,0.736000001,0.004,0.001,0.008,0.092,0.046875492,0.018169774,31423.5,78906,39788,68953,180,182,10627,6564,1331,847,198,27,0,636,989,4852,1463,2527,310,1452,10616,5455,1179,3749,233,0.083338,0.253525347,0.126482502,0.164546803,0.139052317,0.110737562,0.06759306,0.033544388,0.02118003,53541,0.490633339,0.509366632,0.472127169,0.400509357,0.092815064,0.034548402,0.606306314,0.219399303,0.1374726,0.02937389,0.007447882,0.400956899,0.599043131,16665,0.081,0.003,0.001,0,639.7000122,21.82857132,20.85999298,1,1.008831024,0.814895332,1,0,0
Los Angeles,Los Angeles Unified,Lillian Street Elementary,19,64733,6017875,0,351.2000122,420,365.8999939,90001,0.869199991,0.967999995,608,0.504999995,0.270000011,1,0,0,0.007,0,0.991999984,0,0,0.002,0,0,0,0,27,16,1,655494,0.263999999,0.365999997,0.75,29,0.004,0.039999999,0.093999997,0.021,0.736000001,0.004,0.001,0.008,0.092,0.046875492,0.018169774,31423.5,78906,39788,68953,180,182,10627,6564,1331,847,198,27,0,636,989,4852,1463,2527,310,1452,10616,5455,1179,3749,233,0.083338,0.253525347,0.126482502,0.164546803,0.139052317,0.110737562,0.06759306,0.033544388,0.02118003,53541,0.490633339,0.509366632,0.472127169,0.400509357,0.092815064,0.034548402,0.606306314,0.219399303,0.1374726,0.02937389,0.007447882,0.400956899,0.599043131,16665,0.081,0.003,0.001,0,717.0999756,22.51851845,20.85999298,1,1.008831024,0.814895332,1,0,0
Los Angeles,Los Angeles Unified,Miramonte Elementary,19,64733,6018188,0,332.8999939,664,349.3999939,90001,0.851999998,0.890699983,917,0.578999996,0.322999984,1,0.001,0,0.003,0,0.994000018,0,0,0.001,0.001,1,0,0,51,17,1,655494,0.263999999,0.365999997,0.75,29,0.004,0.039999999,0.093999997,0.021,0.736000001,0.004,0.001,0.008,0.092,0.046875492,0.018169774,31423.5,78906,39788,68953,180,182,10627,6564,1331,847,198,27,0,636,989,4852,1463,2527,310,1452,10616,5455,1179,3749,233,0.083338,0.253525347,0.126482502,0.164546803,0.139052317,0.110737562,0.06759306,0.033544388,0.02118003,53541,0.490633339,0.509366632,0.472127169,0.400509357,0.092815064,0.034548402,0.606306314,0.219399303,0.1374726,0.02937389,0.007447882,0.400956899,0.599043131,16665,0.081,0.003,0.001,0,682.2999878,17.98039246,20.85999298,1,1.008831024,0.814895332,1,0,0
Los Angeles,Los Angeles Unified,Russell Elementary,19,64733,6019004,0,337.6000061,660,373.1000061,90001,0.893899977,0.939400017,947,0.497999996,0.264999986,12,0,0,0.113000005,0,0.88499999,0.001,0,0.001,0,1,0,0,45,17,1,655494,0.263999999,0.365999997,0.75,29,0.004,0.039999999,0.093999997,0.021,0.736000001,0.004,0.001,0.008,0.092,0.046875492,0.018169774,31423.5,78906,39788,68953,180,182,10627,6564,1331,847,198,27,0,636,989,4852,1463,2527,310,1452,10616,5455,1179,3749,233,0.083338,0.253525347,0.126482502,0.164546803,0.139052317,0.110737562,0.06759306,0.033544388,0.02118003,53541,0.490633339,0.509366632,0.472127169,0.400509357,0.092815064,0.034548402,0.606306314,0.219399303,0.1374726,0.02937389,0.007447882,0.400956899,0.599043131,16665,0.081,0.003,0.001,0,710.7000122,21.04444504,20.85999298,1,1.008831024,0.814895332,1,0,0
Los Angeles,Los Angeles Unified,Parmelee Avenue Elementary,19,64733,6018683,0,338.2000122,654,368.6000061,90001,0.852699995,0.892499983,938,0.455000013,0.308999985,6,0.003,0,0.046,0,0.949999988,0,0,0,0.001,1,0.022222223,0,45,16,1,655494,0.263999999,0.365999997,0.75,29,0.004,0.039999999,0.093999997,0.021,0.736000001,0.004,0.001,0.008,0.092,0.046875492,0.018169774,31423.5,78906,39788,68953,180,182,10627,6564,1331,847,198,27,0,636,989,4852,1463,2527,310,1452,10616,5455,1179,3749,233,0.083338,0.253525347,0.126482502,0.164546803,0.139052317,0.110737562,0.06759306,0.033544388,0.02118003,53541,0.490633339,0.509366632,0.472127169,0.400509357,0.092815064,0.034548402,0.606306314,0.219399303,0.1374726,0.02937389,0.007447882,0.400956899,0.599043131,16665,0.081,0.003,0.001,0,706.8000488,20.84444427,20.85999298,1,1.008831024,0.814895332,1,0,0
Los Angeles,Los Angeles Unified,Graham Elementary,19,64733,6017321,0,328.7000122,525,327.2000122,90001,0.903400004,0.943499982,789,0.479999989,0.222000003,4,0.004,0,0.027000001,0,0.968000054,0,0,0.001,0,0,0,0,35,18,1,655494,0.263999999,0.365999997,0.75,29,0.004,0.039999999,0.093999997,0.021,0.736000001,0.004,0.001,0.008,0.092,0.046875492,0.018169774,31423.5,78906,39788,68953,180,182,10627,6564,1331,847,198,27,0,636,989,4852,1463,2527,310,1452,10616,5455,1179,3749,233,0.083338,0.253525347,0.126482502,0.164546803,0.139052317,0.110737562,0.06759306,0.033544388,0.02118003,53541,0.490633339,0.509366632,0.472127169,0.400509357,0.092815064,0.034548402,0.606306314,0.219399303,0.1374726,0.02937389,0.007447882,0.400956899,0.599043131,16665,0.081,0.003,0.001,0,655.9000244,22.54285622,20.85999298,1,1.008831024,0.814895332,1,0,0
Los Angeles,Los Angeles Unified,Florence Avenue Elementary,19,64733,6017123,0,355.1000061,555,404.6000061,90001,0.853500009,0.938199997,803,0.449999988,0.40200001,1,0,0.001,0.005,0,0.99000001,0,0,0.003,0.001,0,0,0,41,15,1,655494,0.263999999,0.365999997,0.75,29,0.004,0.039999999,0.093999997,0.021,0.736000001,0.004,0.001,0.008,0.092,0.046875492,0.018169774,31423.5,78906,39788,68953,180,182,10627,6564,1331,847,198,27,0,636,989,4852,1463,2527,310,1452,10616,5455,1179,3749,233,0.083338,0.253525347,0.126482502,0.164546803,0.139052317,0.110737562,0.06759306,0.033544388,0.02118003,53541,0.490633339,0.509366632,0.472127169,0.400509357,0.092815064,0.034548402,0.606306314,0.219399303,0.1374726,0.02937389,0.007447882,0.400956899,0.599043131,16665,0.081,0.003,0.001,0,759.7000122,19.5853653,20.85999298,1,1.008831024,0.814895332,1,0,0
Los Angeles,Los Angeles Unified,Wisdom Elementary,19,64733,122150,0,328.8999939,612,352.7000122,90001,0.858299971,0.89139998,864,0.492000014,0.254999995,10,0.002,0.001,0.088,0,0.906999946,0,0,0.001,0,0,0.025,0.025,40,12,1,655494,0.263999999,0.365999997,0.75,29,0.004,0.039999999,0.093999997,0.021,0.736000001,0.004,0.001,0.008,0.092,0.046875492,0.018169774,31423.5,78906,39788,68953,180,182,10627,6564,1331,847,198,27,0,636,989,4852,1463,2527,310,1452,10616,5455,1179,3749,233,0.083338,0.253525347,0.126482502,0.164546803,0.139052317,0.110737562,0.06759306,0.033544388,0.02118003,53541,0.490633339,0.509366632,0.472127169,0.400509357,0.092815064,0.034548402,0.606306314,0.219399303,0.1374726,0.02937389,0.007447882,0.400956899,0.599043131,16665,0.081,0.003,0.001,0,681.5999756,21.60000038,20.85999298,1,1.008831024,0.814895332,1,0,0
Los Angeles,Los Angeles Unified,Lawrence H. Moore Academy,19,64733,126433,0,329.6000061,503,368.2000122,90001,0.774399996,0.801299989,755,0.595999956,0.246000007,6,0.001,0.003,0.045000002,0,0.948000014,0,0,0.003,0,0,0,0.03125,31.5,13,1,655494,0.263999999,0.365999997,0.75,29,0.004,0.039999999,0.093999997,0.021,0.736000001,0.004,0.001,0.008,0.092,0.046875492,0.018169774,31423.5,78906,39788,68953,180,182,10627,6564,1331,847,198,27,0,636,989,4852,1463,2527,310,1452,10616,5455,1179,3749,233,0.083338,0.253525347,0.126482502,0.164546803,0.139052317,0.110737562,0.06759306,0.033544388,0.02118003,53541,0.490633339,0.509366632,0.472127169,0.400509357,0.092815064,0.034548402,0.606306314,0.219399303,0.1374726,0.02937389,0.007447882,0.400956899,0.599043131,16665,0.081,0.003,0.001,0,697.8000488,23.96825409,20.85999298,1.015873075,1.008831024,0.814895332,1,0,0
